teacher_id,teacher_name,section,role
T001,Teacher_1,B,Teacher
T002,Teacher_2,C,Teacher
T003,Teacher_3,D,Teacher
T004,Teacher_4,A,Teacher
T005,Teacher_5,D,Teacher
T006,Teacher_6,A,Teacher
T007,Teacher_7,B,Teacher
T008,Teacher_8,A,Teacher
T009,Teacher_9,B,Teacher
T010,Teacher_10,D,Teacher
T011,Teacher_11,C,Teacher
T012,Teacher_12,B,Teacher
T013,Teacher_13,D,Teacher
T014,Teacher_14,B,Teacher
T015,Teacher_15,B,Teacher
T016,Teacher_16,D,Teacher
T017,Teacher_17,D,Teacher
T018,Teacher_18,C,Teacher
T019,Teacher_19,A,Teacher
T020,Teacher_20,A,Teacher
T021,Teacher_21,D,Teacher
T022,Teacher_22,A,Teacher
T023,Teacher_23,D,Teacher
T024,Teacher_24,A,Teacher
T025,Teacher_25,A,Teacher
T026,Teacher_26,B,Teacher
T027,Teacher_27,B,Teacher
T028,Teacher_28,B,Teacher
T029,Teacher_29,D,Teacher
T030,Teacher_30,C,Teacher
T031,Teacher_31,D,Teacher
T032,Teacher_32,B,Teacher
T033,Teacher_33,A,Teacher
T034,Teacher_34,C,Teacher
T035,Teacher_35,C,Teacher
T036,Teacher_36,B,Teacher
T037,Teacher_37,D,Teacher
T038,Teacher_38,C,Teacher
T039,Teacher_39,B,Teacher
T040,Teacher_40,A,Teacher
T041,Teacher_41,A,Teacher
T042,Teacher_42,C,Teacher
T043,Teacher_43,B,Teacher
T044,Teacher_44,D,Teacher
T045,Teacher_45,B,Teacher
T046,Teacher_46,A,Teacher
T047,Teacher_47,D,Teacher
T048,Teacher_48,A,Teacher
T049,Teacher_49,B,Teacher
T050,Teacher_50,C,Teacher
T051,Teacher_51,A,Teacher
T052,Teacher_52,C,Teacher
T053,Teacher_53,A,Teacher
T054,Teacher_54,A,Teacher
T055,Teacher_55,D,Teacher
T056,Teacher_56,B,Teacher
T057,Teacher_57,D,Teacher
T058,Teacher_58,C,Teacher
T059,Teacher_59,B,Teacher
T060,Teacher_60,D,Teacher
T061,Teacher_61,B,Teacher
T062,Teacher_62,B,Teacher
T063,Teacher_63,B,Teacher
T064,Teacher_64,B,Teacher
T065,Teacher_65,B,Teacher
T066,Teacher_66,D,Teacher
T067,Teacher_67,B,Teacher
T068,Teacher_68,B,Teacher
T069,Teacher_69,D,Teacher
T070,Teacher_70,D,Teacher
T071,Teacher_71,A,Teacher
T072,Teacher_72,B,Teacher
T073,Teacher_73,B,Teacher
T074,Teacher_74,D,Teacher
T075,Teacher_75,C,Teacher
T076,Teacher_76,C,Teacher
T077,Teacher_77,D,Teacher
T078,Teacher_78,C,Teacher
T079,Teacher_79,D,Teacher
T080,Teacher_80,A,Teacher
T081,Teacher_81,B,Teacher
T082,Teacher_82,D,Teacher
T083,Teacher_83,B,Teacher
T084,Teacher_84,D,Teacher
T085,Teacher_85,C,Teacher
T086,Teacher_86,D,Teacher
T087,Teacher_87,D,Teacher
T088,Teacher_88,A,Teacher
T089,Teacher_89,A,Teacher
T090,Teacher_90,D,Teacher
T091,Teacher_91,B,Teacher
T092,Teacher_92,C,Teacher
T093,Teacher_93,B,Teacher
T094,Teacher_94,A,Teacher
T095,Teacher_95,D,Teacher
T096,Teacher_96,B,Teacher
T097,Teacher_97,B,Teacher
T098,Teacher_98,B,Teacher
T099,Teacher_99,A,Teacher
T100,Teacher_100,D,Teacher
T101,Teacher_101,B,Teacher
T102,Teacher_102,C,Teacher
T103,Teacher_103,B,Teacher
T104,Teacher_104,D,Teacher
T105,Teacher_105,B,Teacher
T106,Teacher_106,C,Teacher
T107,Teacher_107,C,Teacher
T108,Teacher_108,D,Teacher
T109,Teacher_109,B,Teacher
T110,Teacher_110,A,Teacher
T111,Teacher_111,A,Teacher
T112,Teacher_112,A,Teacher
T113,Teacher_113,B,Teacher
T114,Teacher_114,A,Teacher
T115,Teacher_115,B,Teacher
T116,Teacher_116,D,Teacher
T117,Teacher_117,B,Teacher
T118,Teacher_118,A,Teacher
T119,Teacher_119,C,Teacher
T120,Teacher_120,B,Teacher
T121,Teacher_121,B,Teacher
T122,Teacher_122,A,Teacher
T123,Teacher_123,A,Teacher
T124,Teacher_124,C,Teacher
T125,Teacher_125,A,Teacher
T126,Teacher_126,D,Teacher
T127,Teacher_127,C,Teacher
T128,Teacher_128,B,Teacher
T129,Teacher_129,B,Teacher
T130,Teacher_130,B,Teacher
T131,Teacher_131,C,Teacher
T132,Teacher_132,D,Teacher
T133,Teacher_133,D,Teacher
T134,Teacher_134,B,Teacher
T135,Teacher_135,A,Teacher
T136,Teacher_136,A,Teacher
T137,Teacher_137,C,Teacher
T138,Teacher_138,C,Teacher
T139,Teacher_139,B,Teacher
T140,Teacher_140,D,Teacher
T141,Teacher_141,D,Teacher
T142,Teacher_142,A,Teacher
T143,Teacher_143,C,Teacher
T144,Teacher_144,A,Teacher
T145,Teacher_145,D,Teacher
T146,Teacher_146,D,Teacher
T147,Teacher_147,C,Teacher
T148,Teacher_148,A,Teacher
T149,Teacher_149,C,Teacher
T150,Teacher_150,C,Teacher
T151,Teacher_151,B,Teacher
T152,Teacher_152,A,Teacher
T153,Teacher_153,A,Teacher
T154,Teacher_154,D,Teacher
T155,Teacher_155,D,Teacher
T156,Teacher_156,D,Teacher
T157,Teacher_157,D,Teacher
T158,Teacher_158,C,Teacher
T159,Teacher_159,B,Teacher
T160,Teacher_160,C,Teacher
T161,Teacher_161,C,Teacher
T162,Teacher_162,D,Teacher
T163,Teacher_163,A,Teacher
T164,Teacher_164,C,Teacher
T165,Teacher_165,B,Teacher
T166,Teacher_166,D,Teacher
T167,Teacher_167,A,Teacher
T168,Teacher_168,B,Teacher
T169,Teacher_169,C,Teacher
T170,Teacher_170,A,Teacher
T171,Teacher_171,B,Teacher
T172,Teacher_172,C,Teacher
T173,Teacher_173,A,Teacher
T174,Teacher_174,C,Teacher
T175,Teacher_175,C,Teacher
T176,Teacher_176,D,Teacher
T177,Teacher_177,B,Teacher
T178,Teacher_178,C,Teacher
T179,Teacher_179,C,Teacher
T180,Teacher_180,B,Teacher
T181,Teacher_181,A,Teacher
T182,Teacher_182,C,Teacher
T183,Teacher_183,D,Teacher
T184,Teacher_184,B,Teacher
T185,Teacher_185,A,Teacher
T186,Teacher_186,D,Teacher
T187,Teacher_187,A,Teacher
T188,Teacher_188,D,Teacher
T189,Teacher_189,B,Teacher
T190,Teacher_190,B,Teacher
T191,Teacher_191,C,Teacher
T192,Teacher_192,C,Teacher
T193,Teacher_193,B,Teacher
T194,Teacher_194,C,Teacher
T195,Teacher_195,A,Teacher
T196,Teacher_196,C,Teacher
T197,Teacher_197,A,Teacher
T198,Teacher_198,B,Teacher
T199,Teacher_199,B,Teacher
T200,Teacher_200,B,Teacher
